Collection_ID,Collectible,Source_Name,Rarity,Edition,Affected_Gear_or_Tech,Game_Data_Description,Crit_Milestone,Yellow_1,Yellow_2,Yellow_3,Yellow_4,Yellow_5,Red_1,Red_2,Red_3,Red_4,Red_5,Additional_Modeled_Effects,Data_Status,Source_URL
36,Super Circuit Board,Super Circuit Board,Epic,2,Hi-Maintainer,Epic Collectible. Used to boost Hi-Maintainer,Crit Damage +5%,Hi-Maintainer stat +2%,Hi-Maintainer stat +2%,Hi-Maintainer Better-quality skill boosted (exact wording not captured),Hi-Maintainer stat +2%,Hi-Maintainer Excellent-quality skill boosted (exact wording not captured),Hi-Maintainer stat +3%,Hi-Maintainer stat +3%,Crit Damage +5%,Hi-Maintainer stat +3%,Hi-Maintainer Legend-quality skill boosted (exact wording not captured),0★: Effect Multiplier 0% | 3★: Effect Multiplier 25% | 5★: Effect Multiplier 31.25% | 10★: Effect Multiplier 96.875%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=36
48,Mystical Halo,Mystical Halo,Epic,2,Energy Diffuser,Epic Collectible. Used to boost Energy Diffuser,Crit Damage +5%,Energy Diffuser stat +2%,Energy Diffuser stat +2%,Energy Diffuser Better-quality skill boosted (exact wording not captured),Energy Diffuser stat +2%,Energy Diffuser Excellent-quality skill boosted (exact wording not captured),Energy Diffuser stat +3%,Energy Diffuser stat +3%,Crit Damage +5%,Energy Diffuser stat +3%,Energy Diffuser Legend-quality skill boosted (exact wording not captured),Model 1: 0★: Effect Multiplier 0% | 3★: Effect Multiplier 10% | 10★: Effect Multiplier 25% || Model 2: 5★: Vulnerability 5%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=48
53,Tablet of Epics,Tablet of Epics,Epic,3,Armor of Quietus,EpicCollectible. Used to boost Armor of Quietus,Crit Rate +5%,Armor of Quietus stat +2%,Armor of Quietus stat +2%,Armor of Quietus Better-quality skill boosted (exact wording not captured),Armor of Quietus stat +2%,Armor of Quietus Excellent-quality skill boosted (exact wording not captured),Armor of Quietus stat +3%,Armor of Quietus stat +3%,Crit Rate +5%,Armor of Quietus stat +3%,Armor of Quietus Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=53
54,Primordial War Drum,Primordial War Drum,Epic,3,Eternal Gloves,EpicCollectible. Used to boost Eternal Gloves,Crit Damage +5%,Eternal Gloves stat +2%,Eternal Gloves stat +2%,Eternal Gloves Better-quality skill boosted (exact wording not captured),Eternal Gloves stat +2%,Eternal Gloves Excellent-quality skill boosted (exact wording not captured),Eternal Gloves stat +3%,Eternal Gloves stat +3%,Crit Damage +5%,Eternal Gloves stat +3%,Eternal Gloves Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=54
55,Flaring Plume,Flaring Plume,Epic,3,Voidwaker Treads,EpicCollectible. Used to boost Voidwaker Treads,Crit Rate +5%,Voidwaker Treads stat +2%,Voidwaker Treads stat +2%,Voidwaker Treads Better-quality skill boosted (exact wording not captured),Voidwaker Treads stat +2%,Voidwaker Treads Excellent-quality skill boosted (exact wording not captured),Voidwaker Treads stat +3%,Voidwaker Treads stat +3%,Crit Rate +5%,Voidwaker Treads stat +3%,Voidwaker Treads Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=55
56,Astral Dewdrop,Astral Dewdrop,Epic,3,Voidwaker Sash,EpicCollectible. Used to boost Voidwaker Sash,Crit Damage +5%,Voidwaker Sash stat +2%,Voidwaker Sash stat +2%,Voidwaker Sash Better-quality skill boosted (exact wording not captured),Voidwaker Sash stat +2%,Voidwaker Sash Excellent-quality skill boosted (exact wording not captured),Voidwaker Sash stat +3%,Voidwaker Sash stat +3%,Crit Damage +5%,Voidwaker Sash stat +3%,Voidwaker Sash Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=56
83,Nuclear Battery,Nuclear Battery,Epic,4,Gravity Controller,Epic Collectible. Used to boost Gravity Controller,Crit Damage +5%,Gravity Controller stat +2%,Gravity Controller stat +2%,Gravity Controller Better-quality skill boosted (exact wording not captured),Gravity Controller stat +2%,Gravity Controller Excellent-quality skill boosted (exact wording not captured),Gravity Controller stat +3%,Gravity Controller stat +3%,Crit Damage +5%,Gravity Controller stat +3%,Gravity Controller Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=83
84,Plasma Sword,Plasma Sword,Epic,4,Annihilator,Epic Collectible. Used to boost Annihilator,Crit Rate +5%,Annihilator stat +2%,Annihilator stat +2%,Annihilator Better-quality skill boosted (exact wording not captured),Annihilator stat +2%,Annihilator Excellent-quality skill boosted (exact wording not captured),Annihilator stat +3%,Annihilator stat +3%,Crit Rate +5%,Annihilator stat +3%,Annihilator Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=84
85,Golden Horn,Golden Horn,Epic,4,Stone of Cleaving,Epic Collectible. Used to boost Stone of Cleaving,Crit Rate +5%,Stone of Cleaving stat +2%,Stone of Cleaving stat +2%,Stone of Cleaving Better-quality skill boosted (exact wording not captured),Stone of Cleaving stat +2%,Stone of Cleaving Excellent-quality skill boosted (exact wording not captured),Stone of Cleaving stat +3%,Stone of Cleaving stat +3%,Crit Rate +5%,Stone of Cleaving stat +3%,Stone of Cleaving Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=85
86,Elemental Ring,Elemental Ring,Epic,4,Chaos Gauntlet,Epic Collectible. Used to boost Chaos Gauntlet,Crit Damage +5%,Chaos Gauntlet stat +2%,Chaos Gauntlet stat +2%,Chaos Gauntlet Better-quality skill boosted (exact wording not captured),Chaos Gauntlet stat +2%,Chaos Gauntlet Excellent-quality skill boosted (exact wording not captured),Chaos Gauntlet stat +3%,Chaos Gauntlet stat +3%,Crit Damage +5%,Chaos Gauntlet stat +3%,Chaos Gauntlet Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=86
115,Anti-Gravity Device,Anti-Gravity Device,Epic,5,Exo-skeleton,Epic Collectible. Used to boost Exo-skeleton,Crit Damage +5%,Exo-skeleton stat +2%,Exo-skeleton stat +2%,Exo-skeleton Better-quality skill boosted (exact wording not captured),Exo-skeleton stat +2%,Exo-skeleton Excellent-quality skill boosted (exact wording not captured),Exo-skeleton stat +3%,Exo-skeleton stat +3%,Crit Damage +5%,Exo-skeleton stat +3%,Exo-skeleton Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=115
116,Hydraulic Flipper,Hydraulic Flipper,Epic,5,Drone,Epic Collectible. Used to boost Drone,Crit Rate +5%,Drone stat +2%,Drone stat +2%,Drone Better-quality skill boosted (exact wording not captured),Drone stat +2%,Drone Excellent-quality skill boosted (exact wording not captured),Drone stat +3%,Drone stat +3%,Crit Rate +5%,Drone stat +3%,Drone Legend-quality skill boosted (exact wording not captured),5★: Internal Effect H1 3% | 3★: Internal Effect H2 3% | 10★: Internal Effect H1 8%; Internal Effect H2 8%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=116
117,Superhuman Pill,Superhuman Pill,Epic,5,Lightchaser,Epic Collectible. Used to boost Lightchaser,Crit Rate +5%,Lightchaser stat +2%,Lightchaser stat +2%,Lightchaser Better-quality skill boosted (exact wording not captured),Lightchaser stat +2%,Lightchaser Excellent-quality skill boosted (exact wording not captured),Lightchaser stat +3%,Lightchaser stat +3%,Crit Rate +5%,Lightchaser stat +3%,Lightchaser Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=117
118,Comms Conch,Comms Conch,Epic,5,Void Power,Epic Collectible. Used to boost Void Power,Crit Damage +5%,Void Power stat +2%,Void Power stat +2%,Void Power Better-quality skill boosted (exact wording not captured),Void Power stat +2%,Void Power Excellent-quality skill boosted (exact wording not captured),Void Power stat +3%,Void Power stat +3%,Crit Damage +5%,Void Power stat +3%,Void Power Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=118
145,Mini Dyson Sphere,Mini Dyson Sphere,Epic,6,Phase Converter,EpicCollectible. Used to boost Phase Converter,Crit Damage +5%,Phase Converter stat +2%,Phase Converter stat +2%,Phase Converter Better-quality skill boosted (exact wording not captured),Phase Converter stat +2%,Phase Converter Excellent-quality skill boosted (exact wording not captured),Phase Converter stat +3%,Phase Converter stat +3%,Crit Damage +5%,Phase Converter stat +3%,Phase Converter Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=145
146,Micro Artificial Sun,Micro Artificial Sun,Epic,6,Quantum Polarizer,EpicCollectible. Used to boost Quantum Polarizer,Crit Damage +5%,Quantum Polarizer stat +2%,Quantum Polarizer stat +2%,Quantum Polarizer Better-quality skill boosted (exact wording not captured),Quantum Polarizer stat +2%,Quantum Polarizer Excellent-quality skill boosted (exact wording not captured),Quantum Polarizer stat +3%,Quantum Polarizer stat +3%,Crit Damage +5%,Quantum Polarizer stat +3%,Quantum Polarizer Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=146
147,Klein Bottle,Klein Bottle,Epic,6,Eternal Suit,EpicCollectible. Used to boost Eternal Suit,Crit Rate +5%,Eternal Suit stat +2%,Eternal Suit stat +2%,Eternal Suit Better-quality skill boosted (exact wording not captured),Eternal Suit stat +2%,Eternal Suit Excellent-quality skill boosted (exact wording not captured),Eternal Suit stat +3%,Eternal Suit stat +3%,Crit Rate +5%,Eternal Suit stat +3%,Eternal Suit Legend-quality skill boosted (exact wording not captured),10★: Skill Damage 10%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=147
148,Antiparticle Gourd,Antiparticle Gourd,Epic,6,Nanobot,EpicCollectible. Used to boost Nanobot,Crit Rate +5%,Nanobot stat +2%,Nanobot stat +2%,Nanobot Better-quality skill boosted (exact wording not captured),Nanobot stat +2%,Nanobot Excellent-quality skill boosted (exact wording not captured),Nanobot stat +3%,Nanobot stat +3%,Crit Rate +5%,Nanobot stat +3%,Nanobot Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=148
175,Wildfire Furnace,Wildfire Furnace,Epic,7,Antimatter Generator,Epic Collectible. Used to boost Antimatter Generator,Crit Damage +5%,Antimatter Generator stat +2%,Antimatter Generator stat +2%,Antimatter Generator Better-quality skill boosted (exact wording not captured),Antimatter Generator stat +2%,Antimatter Generator Excellent-quality skill boosted (exact wording not captured),Antimatter Generator stat +3%,Antimatter Generator stat +3%,Crit Damage +5%,Antimatter Generator stat +3%,Antimatter Generator Legend-quality skill boosted (exact wording not captured),0★: Effect Multiplier 0% | 3★: Effect Multiplier 6% | 5★: Effect Multiplier 12% | 10★: Effect Multiplier 24%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=175
176,Infinity Score,Infinity Score,Epic,7,Sword of Disorder,Epic Collectible. Used to boost Sword of Disorder,Crit Damage +5%,Sword of Disorder stat +2%,Sword of Disorder stat +2%,Sword of Disorder Better-quality skill boosted (exact wording not captured),Sword of Disorder stat +2%,Sword of Disorder Excellent-quality skill boosted (exact wording not captured),Sword of Disorder stat +3%,Sword of Disorder stat +3%,Crit Damage +5%,Sword of Disorder stat +3%,Sword of Disorder Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=176
177,Cosmic Compass,Cosmic Compass,Epic,7,Energy Collector,Epic Collectible. Used to boost Energy Collector,Crit Rate +5%,Energy Collector stat +2%,Energy Collector stat +2%,Energy Collector Better-quality skill boosted (exact wording not captured),Energy Collector stat +2%,Energy Collector Excellent-quality skill boosted (exact wording not captured),Energy Collector stat +3%,Energy Collector stat +3%,Crit Rate +5%,Energy Collector stat +3%,Energy Collector Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=177
178,Wormhole Detector,Wormhole Detector,Epic,7,Eternal Belt,Epic Collectible. Used to boost Eternal Belt,Crit Rate +5%,Eternal Belt stat +2%,Eternal Belt stat +2%,Eternal Belt Better-quality skill boosted (exact wording not captured),Eternal Belt stat +2%,Eternal Belt Excellent-quality skill boosted (exact wording not captured),Eternal Belt stat +3%,Eternal Belt stat +3%,Crit Rate +5%,Eternal Belt stat +3%,Eternal Belt Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=178
205,Shuttle Capsule,Shuttle Capsule,Epic,8,Conduction Device,Epic Collectible. Used to boost Conduction Device,Crit Damage +5%,Conduction Device stat +2%,Conduction Device stat +2%,Conduction Device Better-quality skill boosted (exact wording not captured),Conduction Device stat +2%,Conduction Device Excellent-quality skill boosted (exact wording not captured),Conduction Device stat +3%,Conduction Device stat +3%,Crit Damage +5%,Conduction Device stat +3%,Conduction Device Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=205
207,Star-Rail Passenger Card,Star-Rail Passenger Card,Epic,8,Eternal Necklace,Epic Collectible. Used to boost Eternal Necklace,Crit Rate +5%,Eternal Necklace stat +2%,Eternal Necklace stat +2%,Eternal Necklace Better-quality skill boosted (exact wording not captured),Eternal Necklace stat +2%,Eternal Necklace Excellent-quality skill boosted (exact wording not captured),Eternal Necklace stat +3%,Eternal Necklace stat +3%,Crit Rate +5%,Eternal Necklace stat +3%,Eternal Necklace Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=207
208,Portable Mech Case,Portable Mech Case,Epic,8,Voidwaker Handguards,Epic Collectible. Used to boost Voidwaker Handguards,Crit Rate +5%,Voidwaker Handguards stat +2%,Voidwaker Handguards stat +2%,Voidwaker Handguards Better-quality skill boosted (exact wording not captured),Voidwaker Handguards stat +2%,Voidwaker Handguards Excellent-quality skill boosted (exact wording not captured),Voidwaker Handguards stat +3%,Voidwaker Handguards stat +3%,Crit Rate +5%,Voidwaker Handguards stat +3%,Voidwaker Handguards Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=208
235,Geocore Orb,Geocore Orb,Epic,9,Lightchaser,Epic Collectible. Used to boost Lightchaser,Crit Damage +5%,Lightchaser stat +2%,Lightchaser stat +2%,Lightchaser Better-quality skill boosted (exact wording not captured),Lightchaser stat +2%,Lightchaser Excellent-quality skill boosted (exact wording not captured),Lightchaser stat +3%,Lightchaser stat +3%,Crit Damage +5%,Lightchaser stat +3%,Lightchaser Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=235
236,Aquacore Orb,Aquacore Orb,Epic,9,Eternal Gloves,Epic Collectible. Used to boost Eternal Gloves,Crit Damage +5%,Eternal Gloves stat +2%,Eternal Gloves stat +2%,Eternal Gloves Better-quality skill boosted (exact wording not captured),Eternal Gloves stat +2%,Eternal Gloves Excellent-quality skill boosted (exact wording not captured),Eternal Gloves stat +3%,Eternal Gloves stat +3%,Crit Damage +5%,Eternal Gloves stat +3%,Eternal Gloves Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=236
237,Pyrocore Orb,Pyrocore Orb,Epic,9,"Nanobot, Quantum Nanobot (Durian Mode)","Epic Collectible. Used to boost Nanobot, Quantum Nanobot (Durian Mode)",Crit Rate +5%,"Nanobot, Quantum Nanobot (Durian Mode) stat +2%","Nanobot, Quantum Nanobot (Durian Mode) stat +2%","Nanobot, Quantum Nanobot (Durian Mode) Better-quality skill boosted (exact wording not captured)","Nanobot, Quantum Nanobot (Durian Mode) stat +2%","Nanobot, Quantum Nanobot (Durian Mode) Excellent-quality skill boosted (exact wording not captured)","Nanobot, Quantum Nanobot (Durian Mode) stat +3%","Nanobot, Quantum Nanobot (Durian Mode) stat +3%",Crit Rate +5%,"Nanobot, Quantum Nanobot (Durian Mode) stat +3%","Nanobot, Quantum Nanobot (Durian Mode) Legend-quality skill boosted (exact wording not captured)",Model 1: 0★: Effect Multiplier 0% | 3★: Effect Multiplier 10% | 5★: Effect Multiplier 23% | 10★: Effect Multiplier 43%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=237
238,Aerocore Orb,Aerocore Orb,Epic,9,Voidwaker Windbreaker,Epic Collectible. Used to boost Voidwaker Windbreaker,Crit Rate +5%,Voidwaker Windbreaker stat +2%,Voidwaker Windbreaker stat +2%,Voidwaker Windbreaker Better-quality skill boosted (exact wording not captured),Voidwaker Windbreaker stat +2%,Voidwaker Windbreaker Excellent-quality skill boosted (exact wording not captured),Voidwaker Windbreaker stat +3%,Voidwaker Windbreaker stat +3%,Crit Rate +5%,Voidwaker Windbreaker stat +3%,Voidwaker Windbreaker Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=238
265,Gemini Starlight,Gemini Starlight,Epic,10,Void Power,Epic Collectible. Used to boost Void Power,Crit Damage +5%,Void Power stat +2%,Void Power stat +2%,Void Power Better-quality skill boosted (exact wording not captured),Void Power stat +2%,Void Power Excellent-quality skill boosted (exact wording not captured),Void Power stat +3%,Void Power stat +3%,Crit Damage +5%,Void Power stat +3%,Void Power Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=265
266,Cancer Starlight,Cancer Starlight,Epic,10,Sword of Disorder,Epic Collectible. Used to boost Sword of Disorder,Crit Damage +5%,Sword of Disorder stat +2%,Sword of Disorder stat +2%,Sword of Disorder Better-quality skill boosted (exact wording not captured),Sword of Disorder stat +2%,Sword of Disorder Excellent-quality skill boosted (exact wording not captured),Sword of Disorder stat +3%,Sword of Disorder stat +3%,Crit Damage +5%,Sword of Disorder stat +3%,Sword of Disorder Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=266
267,Leo Starlight,Leo Starlight,Epic,10,Armor of Quietus,Epic Collectible. Used to boost Armor of Quietus,Crit Rate +5%,Armor of Quietus stat +2%,Armor of Quietus stat +2%,Armor of Quietus Better-quality skill boosted (exact wording not captured),Armor of Quietus stat +2%,Armor of Quietus Excellent-quality skill boosted (exact wording not captured),Armor of Quietus stat +3%,Armor of Quietus stat +3%,Crit Rate +5%,Armor of Quietus stat +3%,Armor of Quietus Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=267
268,Virgo Starlight,Virgo Starlight,Epic,10,Shoes of Confusion,Epic Collectible. Used to boost Shoes of Confusion,Crit Rate +5%,Shoes of Confusion stat +2%,Shoes of Confusion stat +2%,Shoes of Confusion Better-quality skill boosted (exact wording not captured),Shoes of Confusion stat +2%,Shoes of Confusion Excellent-quality skill boosted (exact wording not captured),Shoes of Confusion stat +3%,Shoes of Confusion stat +3%,Crit Rate +5%,Shoes of Confusion stat +3%,Shoes of Confusion Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=268
