Skill_ID,Skill_Name,Skill_Type,Source_System,Base_or_Evolution,Evolves_From,Evolution_Requirement,Behavior_Description,Primary_Damage_Form,Targeting_or_Area,Status_or_Control,Damage_Affecting_Properties,Calculation_Data_Included,Verification_Status,Primary_Source_URL,Secondary_Source_URL
SKL0317,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Crabobble,R4,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0310,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Crabobble,Y2,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0312,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Crabobble,Y4,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0309,Fatal Pincer,Pet Attack / Awakening Skill,Normal Pet: Crabobble,Y1,,,"Creates a claw wave. Each enemy defeated by the skill grants +25% skill damage, up to +200%.",Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Skill damage,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0313,Fatal Pincer II,Pet Attack / Awakening Skill,Normal Pet: Crabobble,Y5,,,"Each kill gives cooldown -0.3 seconds and skill damage +25%, up to +250%.",Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Skill damage,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0315,Fatal Pincer III,Pet Attack / Awakening Skill,Normal Pet: Crabobble,R2,,,"Each kill gives cooldown -0.5 seconds and skill damage +50%, up to +250%.",Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Skill damage,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0318,Fatal Pincer Maximum,Pet Attack / Awakening Skill,Normal Pet: Crabobble,R5,,,"Each kill gives cooldown -0.5 seconds and skill damage +50%, up to +350%.",Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Skill damage,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0311,Fatal Pincer+,Pet Attack / Awakening Skill,Normal Pet: Crabobble,Y3,,,"Each kill gives cooldown -0.3 seconds and skill damage +25%, up to +200%.",Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Skill damage,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0308,Water Shot,Pet Attack / Awakening Skill,Normal Pet: Crabobble,Base Attack,,,Fires a 500% Pet ATK water projectile that penetrates 2 enemies.,Pet attack or pet/owner modifier,Automatic attack while deployed,,ATK stat,No,Public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791,
SKL0243,Corrosion Zone,Pet Attack / Awakening Skill,Normal Pet: Croaky,Y1,,,Creates a small corrosion ring. Corroded enemies take +12% damage for 6 seconds.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Duration / uptime,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0252,Corrosion Zone Maximum,Pet Attack / Awakening Skill,Normal Pet: Croaky,R5,,,Large ring: enemies take +20% damage for 8 seconds and slime lasts 5 seconds.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Duration / uptime,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0245,Corrosion Zone+,Pet Attack / Awakening Skill,Normal Pet: Croaky,Y3,,,Keeps +12% damage taken for 6 seconds and leaves damaging slime for 3 seconds while moving.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,Vulnerability,Enemy damage-taken effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0242,Corrosive Saliva,Pet Attack / Awakening Skill,Normal Pet: Croaky,Base Attack,,,Spits corrosive saliva that deals 200% of Pet ATK each second for 2 seconds.,Pet attack or pet/owner modifier,Automatic attack while deployed,,ATK stat,No,Public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791,
SKL0248,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Croaky,R1,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0250,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Croaky,R3,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0251,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Croaky,R4,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0244,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Croaky,Y2,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0246,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Croaky,Y4,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0247,Large Corrosion Zone,Pet Attack / Awakening Skill,Normal Pet: Croaky,Y5,,,Creates a larger ring: +12% damage taken for 6 seconds and 3-second slime trails.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,Vulnerability,Enemy damage-taken effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0249,Large Corrosion Zone+,Pet Attack / Awakening Skill,Normal Pet: Croaky,R2,,,Large ring: +12% damage taken for 8 seconds and slime lasts 5 seconds.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,Vulnerability,Enemy damage-taken effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0319,Burning Lasers,Pet Attack / Awakening Skill,Normal Pet: DD-6,Base Attack,,,"Fires 3 lasers, each dealing 400% Pet ATK damage.",Pet attack or pet/owner modifier,Automatic attack while deployed,,ATK stat,No,Public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791,
SKL0325,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: DD-6,R1,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0327,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: DD-6,R3,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0328,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: DD-6,R4,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0321,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: DD-6,Y2,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0323,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: DD-6,Y4,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0326,Extra-Wide Laser Cannon,Pet Attack / Awakening Skill,Normal Pet: DD-6,R2,,,Sweeps an extra-wide frontal area; 6-second cooldown.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Attack frequency / cooldown,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0320,Laser Cannon,Pet Attack / Awakening Skill,Normal Pet: DD-6,Y1,,,Sweeps a small frontal area; 20-second cooldown.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Attack frequency / cooldown,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0322,Laser Cannon+,Pet Attack / Awakening Skill,Normal Pet: DD-6,Y3,,,Sweeps a medium frontal area; 12-second cooldown.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Attack frequency / cooldown,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0329,Surrounding Laser Cannon,Pet Attack / Awakening Skill,Normal Pet: DD-6,R5,,,Sweeps around the pet; 6-second cooldown.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Attack frequency / cooldown,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0324,Wide Laser Cannon,Pet Attack / Awakening Skill,Normal Pet: DD-6,Y5,,,Sweeps a wide frontal area; 12-second cooldown.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Attack frequency / cooldown,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0330,Corrosive Slime Trail,Pet Attack / Awakening Skill,Normal Pet: Gary,Base Attack,,,"Leaves corrosive slime while moving, dealing 200% Pet ATK every 0.5 seconds for 4 seconds; damage +35% when owner levels up.",Pet attack or pet/owner modifier,Automatic attack while deployed,,ATK stat,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/555253; https://onechilledgamer.com/survivor-io-pet-guide/,
SKL0331,Single Laser,Pet Attack / Awakening Skill,Normal Pet: Karen,Base Attack,,,Fires one laser dealing 600% Pet ATK with a 0.5-second cooldown; damage +25% when owner levels up.,Pet attack or pet/owner modifier,Automatic attack while deployed,,ATK stat,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/585217; https://onechilledgamer.com/survivor-io-pet-guide/,
SKL0292,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Murica,R1,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0294,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Murica,R3,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0295,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Murica,R4,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0288,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Murica,Y2,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0290,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Murica,Y4,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0286,Dervish,Pet Attack / Awakening Skill,Normal Pet: Murica,Base Attack,,,Creates a penetrating whirlwind dealing 350% Pet ATK damage.,Pet attack or pet/owner modifier,Automatic attack while deployed,,ATK stat,No,Public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791,
SKL0291,Feather Damage Stacks,Pet Attack / Awakening Skill,Normal Pet: Murica,Y5,,,Each repeated hit gives cooldown -2% and damage +2.5%; caps are -35% cooldown and +40% damage.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Attack frequency / cooldown,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0287,Rapid Fire Feathers,Pet Attack / Awakening Skill,Normal Pet: Murica,Y1,,,"Fires 4 feathers. Repeated hits on one target reduce skill cooldown by 2% per hit, up to 20%.",Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Attack frequency / cooldown,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0293,Rapid Fire Feathers II,Pet Attack / Awakening Skill,Normal Pet: Murica,R2,,,Each repeated hit gives cooldown -4% and damage +5%; caps remain -35% and +40%.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Attack frequency / cooldown,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0296,Rapid Fire Feathers Maximum,Pet Attack / Awakening Skill,Normal Pet: Murica,R5,,,Each repeated hit gives cooldown -6% and damage +10%; caps are -50% cooldown and +90% damage.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Attack frequency / cooldown,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0289,Rapid Fire Feathers+,Pet Attack / Awakening Skill,Normal Pet: Murica,Y3,,,"Repeated hits reduce cooldown by 2% per hit, up to 35%.",Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Attack frequency / cooldown,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0258,Damaging Guard Bubble,Pet Attack / Awakening Skill,Normal Pet: Neemo,Y5,,,Heals 5% HP each second and continuously damages nearby monsters; 30-second cooldown.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Attack frequency / cooldown,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0259,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Neemo,R1,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0261,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Neemo,R3,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0262,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Neemo,R4,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0255,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Neemo,Y2,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0257,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Neemo,Y4,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0253,Explosive Bubbles,Pet Attack / Awakening Skill,Normal Pet: Neemo,Base Attack,,,Fires a bubble dealing 200% Pet ATK on hit and another 200% on explosion.,Pet attack or pet/owner modifier,Automatic attack while deployed,,ATK stat,No,Public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791,
SKL0254,Guard Bubble,Pet Attack / Awakening Skill,Normal Pet: Neemo,Y1,,,"Creates a 3-second bubble, pushes small monsters away and heals 3% HP each second; 30-second cooldown.",Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Attack frequency / cooldown,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0263,Guard Bubble Maximum,Pet Attack / Awakening Skill,Normal Pet: Neemo,R5,,,Heals 10% HP each second and continuously damages nearby monsters; 18-second cooldown.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Attack frequency / cooldown,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0256,Guard Bubble+,Pet Attack / Awakening Skill,Normal Pet: Neemo,Y3,,,Bubble heals 5% HP each second for 3 seconds; 30-second cooldown.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Attack frequency / cooldown,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0260,Rapid Guard Bubble,Pet Attack / Awakening Skill,Normal Pet: Neemo,R2,,,Same damaging bubble with an 18-second cooldown.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Attack frequency / cooldown,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0264,Cacophonia,Pet Attack / Awakening Skill,Normal Pet: Rex,Base Attack,,,Yells at enemies for 250% Pet ATK damage.,Pet attack or pet/owner modifier,Automatic attack while deployed,,ATK stat,No,Public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791,
SKL0270,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Rex,R1,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0272,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Rex,R3,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0273,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Rex,R4,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0266,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Rex,Y2,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0268,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Rex,Y4,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0265,Encouraging Roar,Pet Attack / Awakening Skill,Normal Pet: Rex,Y1,,,Owner and pet ATK +5% for 3 seconds.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,ATK stat,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0269,Encouraging Roar II,Pet Attack / Awakening Skill,Normal Pet: Rex,Y5,,,Owner and pet ATK +5% and owner Crit Damage +5% for 3 seconds.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Critical damage,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
