Unlock_ID,Pet_ID,Pet,Base_Animal,Availability,Awakening_Type_Group,Preferred_Toy_Group,Track_Type,Stage_Order,Stage,Required_Base_Quality,Requirement,Awakening_Crystal_Cost,Cumulative_Awakening_Crystals,Same_Type_Pet_Count_Shown,Affection_Level_Cap,Maximum_Player_ATK_From_Affection,Unlock_Name,Effect,Effect_Data_JSON,Effect_Target,Effect_Category,Trigger,DPS_Relevant,DPS_Priority,Optimizer_Bucket,Data_Status,Source_URLs
PUN0040,PET03,Rex,Dog,Standard,Group D — Rex / DD-6,Dog + Cat,Quality Skill,5,Epic Skill 2,Epic,Reach Epic quality.,,,,,,Vampirism,Pet heals for 2% of attack damage.,"{""pet_lifesteal_percent"":2}",Pet,Vampirism,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",No,Survival,SurvivalOrUtility,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0041,PET03,Rex,Dog,Standard,Group D — Rex / DD-6,Dog + Cat,Quality Skill,6,Legend Skill,Legend,Reach Legend quality.,,,,,,Utmost Loyalty,Pet takes 30% of incoming owner damage.,"{""owner_damage_transferred_to_pet_percent"":30}",Owner + Pet,Utmost Loyalty,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",No,Survival,SurvivalOrUtility,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0042,PET03,Rex,Dog,Standard,Group D — Rex / DD-6,Dog + Cat,Awakening,1,Y1,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,5,5,3,20,900,Encouraging Roar,Owner and pet ATK +5% for 3 seconds.,"{""owner_atk_percent"":5,""pet_atk_percent"":5,""duration_seconds"":3}",Pet / Owner / Skill slot,Owner ATK / Pet ATK,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,Very High,OwnerDamageAmplifier,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0043,PET03,Rex,Dog,Standard,Group D — Rex / DD-6,Dog + Cat,Awakening,2,Y2,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,5,10,3,30,1800,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,OwnerDamageAmplifier,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0044,PET03,Rex,Dog,Standard,Group D — Rex / DD-6,Dog + Cat,Awakening,3,Y3,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,10,20,5,40,2700,Encouraging Roar+,Owner and pet ATK +5% and owner Crit Damage +5% for 3 seconds.,"{""owner_atk_percent"":5,""pet_atk_percent"":5,""owner_crit_damage_percent"":5,""duration_seconds"":3}",Pet / Owner / Skill slot,Owner/Pet damage,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,Very High,OwnerDamageAmplifier,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0045,PET03,Rex,Dog,Standard,Group D — Rex / DD-6,Dog + Cat,Awakening,4,Y4,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,20,40,5,50,3600,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,OwnerDamageAmplifier,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0046,PET03,Rex,Dog,Standard,Group D — Rex / DD-6,Dog + Cat,Awakening,5,Y5,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,30,70,7,60,4800,Encouraging Roar II,Owner and pet ATK +5% and owner Crit Damage +5% for 3 seconds.,"{""owner_atk_percent"":5,""pet_atk_percent"":5,""owner_crit_damage_percent"":5,""duration_seconds"":3}",Pet / Owner / Skill slot,Owner/Pet damage,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,Very High,OwnerDamageAmplifier,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0047,PET03,Rex,Dog,Standard,Group D — Rex / DD-6,Dog + Cat,Awakening,6,R1,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,40,110,7,70,6000,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,OwnerDamageAmplifier,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0048,PET03,Rex,Dog,Standard,Group D — Rex / DD-6,Dog + Cat,Awakening,7,R2,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,60,170,9,80,7500,Extended Roar,Owner and pet ATK +5% and owner Crit Damage +5% for 5 seconds.,"{""owner_atk_percent"":5,""pet_atk_percent"":5,""owner_crit_damage_percent"":5,""duration_seconds"":5}",Pet / Owner / Skill slot,Owner/Pet damage,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,Very High,OwnerDamageAmplifier,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0049,PET03,Rex,Dog,Standard,Group D — Rex / DD-6,Dog + Cat,Awakening,8,R3,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,60,230,9,90,9000,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,OwnerDamageAmplifier,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0050,PET03,Rex,Dog,Standard,Group D — Rex / DD-6,Dog + Cat,Awakening,9,R4,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,60,290,9,105,11300,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,OwnerDamageAmplifier,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0051,PET03,Rex,Dog,Standard,Group D — Rex / DD-6,Dog + Cat,Awakening,10,R5,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,60,350,15,130,15000,Encouraging Roar Maximum,"Owner and pet ATK +10%, owner Crit Damage +10%, and owner attack cooldown -5% for 5 seconds.","{""owner_atk_percent"":10,""pet_atk_percent"":10,""owner_crit_damage_percent"":10,""owner_attack_cooldown_reduction_percent"":5,""duration_seconds"":5}",Pet / Owner / Skill slot,Owner/Pet damage,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,Very High,OwnerDamageAmplifier,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0052,PET04,Shelly,Turtle,Standard,Group C — Neemo / Shelly,Turtle + Crab,Base Attack,0,Base Attack,Normal,Deploy this pet in battle.,,,,,,Turtle Surge,Leaps and creates a shockwave dealing 300% Pet ATK damage.,"{""damage_percent"":300,""cooldown_seconds"":1}",Pet attack,Area shockwave,Automatic attack while deployed,Yes,Low / Medium,DirectPetDamage,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0053,PET04,Shelly,Turtle,Standard,Group C — Neemo / Shelly,Turtle + Crab,Assist Skill,1,Better Assist Skill,Better,Reach Better quality; the pet receives one random assist skill.,,,,,,Random Assist Skill,Unlocks one random assist skill used when this pet is assigned as an assist.,"{""random_assist_skill_slots"":1}",Deployed pet,Assist,Pet assigned to one of the two assist slots,Conditional,Skill dependent,AssistSkill,Exact pet-system rule,https://onechilledgamer.com/survivor-io-pet-guide/
PUN0054,PET04,Shelly,Turtle,Standard,Group C — Neemo / Shelly,Turtle + Crab,Quality Skill,2,Excellent Skill 1,Excellent,Reach Excellent quality.,,,,,,Barrier,Owner ranged/shot damage reduction +10%.,"{""owner_ranged_damage_reduction_percent"":10}",Owner,Barrier,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",No,Survival,SurvivalOrUtility,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0055,PET04,Shelly,Turtle,Standard,Group C — Neemo / Shelly,Turtle + Crab,Quality Skill,3,Excellent Skill 2,Excellent,Reach Excellent quality.,,,,,,Guard,Owner collision damage reduction +10%.,"{""owner_collision_damage_reduction_percent"":10}",Owner,Guard,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",No,Survival,SurvivalOrUtility,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0056,PET04,Shelly,Turtle,Standard,Group C — Neemo / Shelly,Turtle + Crab,Quality Skill,4,Epic Skill 1,Epic,Reach Epic quality.,,,,,,Unyielding Will,Pet revival time -30%.,"{""pet_revival_time_reduction_percent"":30}",Pet,Unyielding Will,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",No,Survival,SurvivalOrUtility,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0057,PET04,Shelly,Turtle,Standard,Group C — Neemo / Shelly,Turtle + Crab,Quality Skill,5,Epic Skill 2,Epic,Reach Epic quality.,,,,,,United Effort,Pet inherited HP +15%.,"{""pet_inherited_hp_percent"":15}",Pet,United Effort,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",No,Survival,SurvivalOrUtility,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0058,PET04,Shelly,Turtle,Standard,Group C — Neemo / Shelly,Turtle + Crab,Quality Skill,6,Legend Skill,Legend,Reach Legend quality.,,,,,,Tough Skin,Pet damage taken -60%.,"{""pet_damage_taken_reduction_percent"":60}",Pet,Tough Skin,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",No,Survival,SurvivalOrUtility,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0059,PET04,Shelly,Turtle,Standard,Group C — Neemo / Shelly,Turtle + Crab,Awakening,1,Y1,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,5,5,3,20,900,Attraction Vortex,Pulls nearby monsters; pet damage taken -10% during the effect; 24-second cooldown.,"{""pet_damage_taken_reduction_percent"":10,""cooldown_seconds"":24}",Pet / Owner / Skill slot,Control / Survival,Awakening stage reached; active-skill effects require this pet to be deployed.,No,Low for DPS,SurvivalOrUtility,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0060,PET04,Shelly,Turtle,Standard,Group C — Neemo / Shelly,Turtle + Crab,Awakening,2,Y2,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,5,10,3,30,1800,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,SkillSlot,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0061,PET04,Shelly,Turtle,Standard,Group C — Neemo / Shelly,Turtle + Crab,Awakening,3,Y3,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,10,20,5,40,2700,Large Vortex,Pulls a wider area; pet damage taken -20%; 24-second cooldown.,"{""pet_damage_taken_reduction_percent"":20,""cooldown_seconds"":24,""area_size"":""Large""}",Pet / Owner / Skill slot,Control / Survival,Awakening stage reached; active-skill effects require this pet to be deployed.,No,Low for DPS,SurvivalOrUtility,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0062,PET04,Shelly,Turtle,Standard,Group C — Neemo / Shelly,Turtle + Crab,Awakening,4,Y4,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,20,40,5,50,3600,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,SkillSlot,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0063,PET04,Shelly,Turtle,Standard,Group C — Neemo / Shelly,Turtle + Crab,Awakening,5,Y5,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,30,70,7,60,4800,Guardian Vortex,"Large pull, pet damage taken -20%, and while alive Shelly absorbs 50% of owner damage; 24-second cooldown.","{""pet_damage_taken_reduction_percent"":20,""owner_damage_transferred_to_pet_percent"":50,""cooldown_seconds"":24}",Pet / Owner / Skill slot,Control / Survival,Awakening stage reached; active-skill effects require this pet to be deployed.,No,Low for DPS,SurvivalOrUtility,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0064,PET04,Shelly,Turtle,Standard,Group C — Neemo / Shelly,Turtle + Crab,Awakening,6,R1,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,40,110,7,70,6000,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,SkillSlot,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0065,PET04,Shelly,Turtle,Standard,Group C — Neemo / Shelly,Turtle + Crab,Awakening,7,R2,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,60,170,9,80,7500,Guardian Vortex+,Cooldown 16 seconds; owner damage taken -10% and Shelly absorbs 50% of owner damage.,"{""owner_damage_taken_reduction_percent"":10,""owner_damage_transferred_to_pet_percent"":50,""cooldown_seconds"":16}",Pet / Owner / Skill slot,Control / Survival,Awakening stage reached; active-skill effects require this pet to be deployed.,No,Low for DPS,SurvivalOrUtility,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0066,PET04,Shelly,Turtle,Standard,Group C — Neemo / Shelly,Turtle + Crab,Awakening,8,R3,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,60,230,9,90,9000,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,SkillSlot,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0067,PET04,Shelly,Turtle,Standard,Group C — Neemo / Shelly,Turtle + Crab,Awakening,9,R4,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,60,290,9,105,11300,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,SkillSlot,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0068,PET04,Shelly,Turtle,Standard,Group C — Neemo / Shelly,Turtle + Crab,Awakening,10,R5,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,60,350,15,130,15000,Guardian Vortex Maximum,Cooldown 16 seconds; owner damage taken -20% and Shelly absorbs 50% of owner damage.,"{""owner_damage_taken_reduction_percent"":20,""owner_damage_transferred_to_pet_percent"":50,""cooldown_seconds"":16}",Pet / Owner / Skill slot,Control / Survival,Awakening stage reached; active-skill effects require this pet to be deployed.,No,Low for DPS,SurvivalOrUtility,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0069,PET05,Murica,Eagle,Standard,Group B — Crabobble / Murica,Fish + Eagle,Base Attack,0,Base Attack,Normal,Deploy this pet in battle.,,,,,,Dervish,Creates a penetrating whirlwind dealing 350% Pet ATK damage.,"{""damage_percent"":350,""cooldown_seconds"":1,""penetrates_all"":true}",Pet attack,Penetrating projectile / whirlwind,Automatic attack while deployed,Yes,Very High early and midgame,DirectPetDamage,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0070,PET05,Murica,Eagle,Standard,Group B — Crabobble / Murica,Fish + Eagle,Assist Skill,1,Better Assist Skill,Better,Reach Better quality; the pet receives one random assist skill.,,,,,,Random Assist Skill,Unlocks one random assist skill used when this pet is assigned as an assist.,"{""random_assist_skill_slots"":1}",Deployed pet,Assist,Pet assigned to one of the two assist slots,Conditional,Skill dependent,AssistSkill,Exact pet-system rule,https://onechilledgamer.com/survivor-io-pet-guide/
PUN0071,PET05,Murica,Eagle,Standard,Group B — Crabobble / Murica,Fish + Eagle,Quality Skill,2,Excellent Skill 1,Excellent,Reach Excellent quality.,,,,,,Gargantua,Pet size and attack range +15%.,"{""pet_size_percent"":15,""pet_range_percent"":15}",Pet,Gargantua,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",Conditional,Hit consistency,SurvivalOrUtility,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0072,PET05,Murica,Eagle,Standard,Group B — Crabobble / Murica,Fish + Eagle,Quality Skill,3,Excellent Skill 2,Excellent,Reach Excellent quality.,,,,,,Sharp Claws,Pet Skill Damage +15%.,"{""pet_skill_damage_percent"":15}",Pet,Sharp Claws,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",Yes,Very High,PetDamageBuff,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0073,PET05,Murica,Eagle,Standard,Group B — Crabobble / Murica,Fish + Eagle,Quality Skill,4,Epic Skill 1,Epic,Reach Epic quality.,,,,,,Battle Lust,Pet attack and skill cooldown -20%.,"{""pet_cooldown_reduction_percent"":20}",Pet,Battle Lust,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",Yes,Very High,PetDamageBuff,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0074,PET05,Murica,Eagle,Standard,Group B — Crabobble / Murica,Fish + Eagle,Quality Skill,5,Epic Skill 2,Epic,Reach Epic quality.,,,,,,High Windchaser,Pet movement speed +75%.,"{""pet_movement_speed_percent"":75}",Pet,High Windchaser,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",Conditional,Hit consistency,SurvivalOrUtility,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0075,PET05,Murica,Eagle,Standard,Group B — Crabobble / Murica,Fish + Eagle,Quality Skill,6,Legend Skill,Legend,Reach Legend quality.,,,,,,Crush,Pet attacks have a 5% chance to deal 10× damage to enemies below 50% HP.,"{""proc_chance_percent"":5,""damage_multiplier"":10,""target_hp_below_percent"":50}",Pet,Crush,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",Yes,Very High,PetDamageBuff,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0076,PET05,Murica,Eagle,Standard,Group B — Crabobble / Murica,Fish + Eagle,Awakening,1,Y1,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,5,5,3,20,900,Rapid Fire Feathers,"Fires 4 feathers. Repeated hits on one target reduce skill cooldown by 2% per hit, up to 20%.","{""feather_count"":4,""cooldown_reduction_per_hit_percent"":2,""cooldown_reduction_cap_percent"":20}",Pet / Owner / Skill slot,Pet cooldown,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,Very High,DirectPetDamage,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0077,PET05,Murica,Eagle,Standard,Group B — Crabobble / Murica,Fish + Eagle,Awakening,2,Y2,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,5,10,3,30,1800,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,DirectPetDamage,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0078,PET05,Murica,Eagle,Standard,Group B — Crabobble / Murica,Fish + Eagle,Awakening,3,Y3,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,10,20,5,40,2700,Rapid Fire Feathers+,"Repeated hits reduce cooldown by 2% per hit, up to 35%.","{""feather_count"":4,""cooldown_reduction_per_hit_percent"":2,""cooldown_reduction_cap_percent"":35}",Pet / Owner / Skill slot,Pet cooldown,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,Very High,DirectPetDamage,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
