Item_ID,Item_Name,Description,Choice_Scope,Rarity,Faction,Equipment_Slot,Selection_Count,Known_Option_Count,Option_Pool_Summary,Option_Data_Status,Optimizer_Use,Lifecycle,Data_Status,Source_URLs
32214,Epic Collectible Choice Pack,Choose 1 Epic Collectible,Collectible,Epic,,,1,,Eligible collectible of the displayed rarity,Dynamic edition/event pool,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32215,Legend Collectible Choice Pack,Choose 1 Legend Collectible,Collectible,Legend,,,1,,Eligible collectible of the displayed rarity,Dynamic edition/event pool,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32243,Excellent Collectible Choice Pack,Choose 1 Excellent Collectible,Collectible,Excellent,,,1,,Eligible collectible of the displayed rarity,Dynamic edition/event pool,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32244,Epic Collectible Choice Pack,Choose 1 Epic Collectible,Collectible,Epic,,,1,,Eligible collectible of the displayed rarity,Dynamic edition/event pool,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32245,Legend Collectible Choice Pack,Choose 1 Legend Collectible,Collectible,Legend,,,1,,Eligible collectible of the displayed rarity,Dynamic edition/event pool,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32263,Excellent Collectible Choice Pack,Choose 1 Excellent Collectible,Collectible,Excellent,,,1,,Eligible collectible of the displayed rarity,Dynamic edition/event pool,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32264,Epic Collectible Choice Pack,Choose 1 Epic Collectible,Collectible,Epic,,,1,,Eligible collectible of the displayed rarity,Dynamic edition/event pool,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32265,Legend Collectible Choice Pack,Choose 1 Legend Collectible,Collectible,Legend,,,1,,Eligible collectible of the displayed rarity,Dynamic edition/event pool,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32301,Choice Better pet toy,Choose 1 Better pet toy,Pet Toy,Better,,,1,,Eligible pet toy of the displayed rarity,Dynamic pool,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32302,Choice Excellent pet toy,Choose 1 Excellent pet toy,Pet Toy,Excellent,,,1,,Eligible pet toy of the displayed rarity,Dynamic pool,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32303,Choice Epic pet toy,Choose 1 Epic pet toy,Pet Toy,Epic,,,1,,Eligible pet toy of the displayed rarity,Dynamic pool,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
33102,Good Pet Choice Pack,Choose 1 Good pet,Normal Pet,Good,,,1,8,Croaky; Neemo; Rex; Shelly; Murica; Cheshire; Crabobble; DD-6,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
33103,Better Pet Choice Pack,Choose 1 Better pet,Normal Pet,Better,,,1,8,Croaky; Neemo; Rex; Shelly; Murica; Cheshire; Crabobble; DD-6,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
33104,Excellent Pet Choice Pack,Choose 1 Excellent pet,Normal Pet,Excellent,,,1,8,Croaky; Neemo; Rex; Shelly; Murica; Cheshire; Crabobble; DD-6,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
33105,Epic Pet Choice Pack,Choose 1 Epic pet,Normal Pet,Epic,,,1,8,Croaky; Neemo; Rex; Shelly; Murica; Cheshire; Crabobble; DD-6,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
33106,Legend Pet Choice Pack,Choose 1 Legend pet,Normal Pet,Legend,,,1,8,Croaky; Neemo; Rex; Shelly; Murica; Cheshire; Crabobble; DD-6,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
33107,Xeno Pet Choice Pack,Choose 1 Xeno Pet,Xeno Pet,Xeno,,,1,,Capy; Clucker; Puffo; King Blizzblast; Nutjob; Gourmeow; Umbral Soul (client-added in v5.0.1; availability may be gated),Dynamic current pool,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://apps.apple.com/us/app/survivor-io/id1528941310"
39999,Random Equipment,Get random Normal equipment,Equipment,Normal,,,1,,Unlocked reward shown by the item,Unknown / dynamic,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
SUPPLEMENT-2026-08-05-MOUNT-SELECTOR,Legend Mount Shard Choice Chest,Choose Legend Mount shards. Announced for eligible events.,Mount Shards,Legend,,,1,1,Eligible Legend mount shard,Upcoming dynamic pool,Compare every eligible option before consuming the selector or choosing the reset target.,Upcoming / Event,"Current timeline supplement; scheduled for August 5, 2026 and not present in the July 10 snapshot.",https://garrytools.com/timeline
